Timestamp (ms),Time (s),UAV_Global_X (mm),UAV_Global_Y (mm),UAV_Z (mm)
1733221594520,0,0,0,1300.75
1733221594669,0.149,0,0,1300.75
1733221594675,0.155,0,0,1300.75
1733221594679,0.159,0,0,1300.75
1733221594682,0.162,0,0,1300.75
1733221594685,0.165,0,0,1300.75
1733221594689,0.169,0,0,1300.75
1733221594694,0.174,0,0,1300.75
1733221594699,0.179,0,0,1300.75
1733221594703,0.183,0,0,1300.75
1733221594710,0.19,0,0,1300.75
1733221594715,0.195,0,-4.12225793935525,1300.75
1733221594720,0.2,-15.8257647121873,2.8421709430404E-14,1300.75
1733221594726,0.206,-26.3105047910648,2.8421709430404E-13,1300.75
1733221594731,0.211,-36.7443534753868,2.27373675443232E-13,1300.75
1733221594736,0.216,-52.3028704169909,2.27373675443232E-13,1300.75
1733221594741,0.221,-62.6157821203103,2.27373675443232E-13,1300.75
1733221594746,0.226,-83.1052168729668,5.6843418860808E-14,1300.75
1733221594752,0.232,-88.2001542284967,1.98951966012828E-13,1300.75
1733221594758,0.238,-103.42182684403,1.70530256582424E-13,1300.75
1733221594763,0.243,-118.552225649888,5.6843418860808E-14,1300.75
1733221594768,0.248,-128.59059643012,5.6843418860808E-14,1300.75
1733221594774,0.254,-143.578467063632,4.12586887745155,1300.75
1733221594778,0.258,-148.556462902236,1.70530256582424E-13,1300.75
1733221594782,0.262,-163.438711281864,8.5265128291212E-14,1300.75
1733221594787,0.267,-178.246515750769,8.5265128291212E-14,1300.75
1733221594792,0.272,-188.079009212311,1.98951966012828E-13,1300.75
1733221594799,0.279,-202.771608871667,1.98951966012828E-13,1300.75
1733221594803,0.283,-207.6547484797,1.4210854715202E-13,1300.75
1733221594809,0.289,-222.262981576348,8.5265128291212E-14,1300.75
1733221594814,0.294,-236.812389128848,4.12586887745158,1300.75
1733221594819,0.299,-246.481166839776,4.12586887745161,1300.75
1733221594825,0.305,-246.481166839776,4.12586887745161,1300.75
1733221594829,0.309,-256.126564357368,8.5265128291212E-14,1300.75
1733221594835,0.315,-270.553198096028,1.4210854715202E-13,1300.75
1733221594841,0.321,-280.144880096443,8.5265128291212E-14,1300.75
1733221594846,0.326,-294.49595211222,1.4210854715202E-13,1300.75
1733221594851,0.331,-294.49595211222,1.4210854715202E-13,1300.75
1733221594856,0.336,-304.04056903949,1.70530256582424E-13,1300.75
1733221594860,0.34,-323.079860931034,1.4210854715202E-13,1300.75
1733221594866,0.346,-337.319694942868,1.13686837721616E-13,1300.75
1733221594872,0.352,-342.059439516013,8.5265128291212E-14,1300.75
1733221594878,0.358,-370.434678744041,1.13686837721616E-13,1300.75
1733221594884,0.364,-389.30050318121,1.13686837721616E-13,1300.75
1733221594892,0.372,-408.134836060289,1.13686837721616E-13,1300.75
1733221594898,0.378,-431.645527121225,1.13686837721616E-13,1300.75
1733221594906,0.386,-436.344600095299,1.13686837721616E-13,1300.75
1733221594913,0.393,-455.134766456077,1.13686837721616E-13,1300.75
1733221594919,0.399,-483.315116861826,1.13686837721616E-13,1300.75
1733221594926,0.406,-502.110183789101,1.13686837721616E-13,1300.75
1733221594933,0.413,-511.513110534887,-4.12225793935522,1300.75
1733221594941,0.421,-530.334669991428,-4.12225793935522,1300.75
1733221594947,0.427,-549.183755803183,-4.12225793935525,1300.75
1733221594956,0.436,-558.621101302312,-4.12225793935525,1300.75
1733221594963,0.443,-572.795929080738,-4.12225793935522,1300.75
1733221594969,0.449,-577.526389009875,-4.12225793935525,1300.75
1733221594977,0.457,-591.736085103486,-4.12225793935525,1300.75
1733221594984,0.464,-605.97591911532,-4.12225793935525,1300.75
1733221594992,0.472,-625.015211006863,-4.12225793935522,1300.75
1733221594999,0.479,-639.338834548048,-4.12225793935525,1300.75
1733221595005,0.485,-644.122481330373,-8.24098925942931,1300.75
1733221595012,0.492,-663.306111288335,-8.24098925942934,1300.75
1733221595019,0.499,-677.749060098166,-8.24098925942934,1300.75
1733221595026,0.506,-692.243390917506,-8.24098925942937,1300.75
1733221595033,0.513,-701.936646063876,-8.24098925942934,1300.75
1733221595040,0.52,-721.401031566654,-8.24098925942931,1300.75
1733221595048,0.528,-740.976770834043,-8.24098925942934,1300.75
1733221595055,0.535,-750.809264295584,-8.24098925942931,1300.75
1733221595062,0.542,-760.673061762556,-8.24098925942937,1300.75
1733221595068,0.548,-760.673061762556,-8.24098925942937,1300.75
1733221595076,0.556,-775.530045760488,-8.24098925942934,1300.75
1733221595083,0.563,-790.464186407843,-8.24098925942934,1300.75
1733221595089,0.569,-800.465183616234,-12.3562779986011,1300.75
1733221595096,0.576,-795.460091561462,-8.24098925942931,1300.75
1733221595102,0.582,-805.479618795983,-8.24098925942931,1300.75
1733221595110,0.59,-820.580561528738,-8.24098925942931,1300.75
1733221595117,0.597,-830.69748562369,-8.24098925942934,1300.75
1733221595124,0.604,-840.855625817857,-8.24098925942934,1300.75
1733221595130,0.61,-845.950563173387,-8.24098925942934,1300.75
1733221595137,0.617,-851.056300488031,-12.3562779986011,1300.75
1733221595144,0.624,-861.300847985381,-8.24098925942931,1300.75
1733221595151,0.631,-871.590627390252,-12.3562779986011,1300.75
1733221595158,0.638,-881.927019288587,-8.2409892594294,1300.75
1733221595165,0.645,-887.113132432506,-12.3562779986012,1300.75
1733221595172,0.652,-892.311426570967,-12.3562779986011,1300.75
1733221595179,0.659,-902.745275255289,-12.3562779986011,1300.75
1733221595185,0.665,-907.981192285661,-8.24098925942934,1300.75
1733221595193,0.673,-913.230015334166,-12.3562779986012,1300.75
1733221595200,0.68,-923.767121648168,-16.4682079218406,1300.75
1733221595206,0.686,-923.767121648168,-16.4682079218406,1300.75
1733221595213,0.693,-923.767121648168,-16.4682079218406,1300.75
1733221595219,0.699,-923.767121648168,-16.4682079218406,1300.75
1733221595227,0.707,-918.491929539191,-16.4682079218406,1300.75
1733221595233,0.713,-918.491929539191,-16.4682079218406,1300.75
1733221595241,0.721,-918.491929539191,-16.4682079218406,1300.75
1733221595247,0.727,-918.491929539191,-16.4682079218406,1300.75
1733221595254,0.734,-918.491929539191,-16.4682079218406,1300.75
1733221595261,0.741,-918.491929539191,-16.4682079218406,1300.75
1733221595268,0.748,-918.491929539191,-16.4682079218406,1300.75
1733221595275,0.755,-918.491929539191,-16.4682079218406,1300.75
1733221595283,0.763,-918.491929539191,-16.4682079218406,1300.75
1733221595289,0.769,-918.491929539191,-16.4682079218406,1300.75
1733221595296,0.776,-918.491929539191,-16.4682079218406,1300.75
1733221595302,0.782,-918.491929539191,-16.4682079218406,1300.75
1733221595309,0.789,-918.491929539191,-16.4682079218406,1300.75
1733221595316,0.796,-918.491929539191,-16.4682079218406,1300.75
1733221595323,0.803,-918.491929539191,-16.4682079218406,1300.75
1733221595329,0.809,-918.491929539191,-16.4682079218406,1300.75
1733221595336,0.816,-918.491929539191,-16.4682079218406,1300.75
1733221595343,0.823,-918.491929539191,-16.4682079218406,1300.75
1733221595350,0.83,-918.491929539191,-16.4682079218406,1300.75
1733221595362,0.842,-918.491929539191,-16.4682079218406,1300.75
1733221595378,0.858,-918.491929539191,-16.4682079218406,1300.75
